,group,names,scores,logfoldchanges,pvals,pvals_adj
265,trypomast_0,C4B63_42g593c,7.091847,1.0148181,1.3233383502853338e-12,2.02748668647216e-08
266,trypomast_0,C4B63_16g290,7.0725574,0.8354669,1.5210387319824222e-12,2.330383441270269e-08
267,trypomast_0,C4B63_23g204,7.060869,0.6449719,1.6546430106075853e-12,2.5350785565518815e-08
268,trypomast_0,C4B63_57g94,7.054033,0.97155225,1.7380519413465855e-12,2.6628693793371036e-08
269,trypomast_0,C4B63_64g436c,7.03715,0.6471144,1.9621191914851886e-12,3.006162813274458e-08
270,trypomast_0,C4B63_34g122,6.991634,0.5296658,2.717034462775304e-12,4.1627685004180435e-08
271,trypomast_0,C4B63_6g588,6.9762044,0.9033086,3.032614473231818e-12,4.646268634438468e-08
272,trypomast_0,C4B63_149g26,6.955916,0.60802907,3.5027923641255533e-12,5.36662818107676e-08
273,trypomast_0,C4B63_2g696,6.9492383,0.5083386,3.672639714619975e-12,5.626851306769264e-08
274,trypomast_0,C4B63_42g63,6.9229684,0.95306647,4.42276857355908e-12,6.776123731549867e-08
275,trypomast_0,C4B63_12g334,6.8868823,0.554841,5.702837291293816e-12,8.737317013991255e-08
276,trypomast_0,C4B63_48g641c,6.8839636,1.0968863,5.820967110235279e-12,8.918303709591472e-08
277,trypomast_0,C4B63_51g451c,6.8831954,0.83936363,5.85246603059103e-12,8.966563205468517e-08
278,trypomast_0,C4B63_219g46,6.8410454,0.5699442,7.861745407852048e-12,1.2044980139370122e-07
279,trypomast_0,C4B63_48g736c,6.8402333,0.5104693,7.906420782226401e-12,1.211342728044907e-07
280,trypomast_0,C4B63_78g46,6.8052154,0.7059811,1.0089820678796139e-11,1.5458614261983565e-07
281,trypomast_0,C4B63_59g114,6.8043714,1.0335938,1.014915636535484e-11,1.5549522467360152e-07
282,trypomast_0,C4B63_17g46,6.8017664,0.793346,1.033439761913866e-11,1.5833330592282343e-07
283,trypomast_0,C4B63_78g23,6.7984943,1.0113012,1.0571802972985204e-11,1.6197059334910632e-07
284,trypomast_0,C4B63_26g268,6.7926755,0.5548157,1.1007270698148604e-11,1.6864239436633477e-07
285,trypomast_0,C4B63_19g43,6.76901,0.89227873,1.2966631840062298e-11,1.9866176642159446e-07
286,trypomast_0,C4B63_26g263,6.766009,0.86778134,1.3238345945111216e-11,2.0282469822504896e-07
287,trypomast_0,C4B63_13g117,6.745327,0.5715611,1.5268281574902212e-11,2.339253420090768e-07
288,trypomast_0,C4B63_6g489,6.738949,0.84190524,1.5953653658366164e-11,2.44425927699828e-07
289,trypomast_0,C4B63_63g53,6.6532345,0.62810737,2.8672125519465746e-11,4.392856350837347e-07
290,trypomast_0,C4B63_33g2,6.637127,0.78743744,3.1985668168045895e-11,4.900524220026312e-07
291,trypomast_0,C4B63_7g407,6.6366253,1.075483,3.209462012176715e-11,4.917216748855945e-07
292,trypomast_0,C4B63_52g28,6.5991397,0.7808159,4.1355087572915335e-11,6.336012967046358e-07
293,trypomast_0,C4B63_8g2652c,6.5791035,0.9751478,4.7329351033813644e-11,7.251329871890589e-07
294,trypomast_0,C4B63_19g177,6.560157,0.9060966,5.3751249806609114e-11,8.235228982870583e-07
295,trypomast_0,C4B63_14g71,6.5569243,0.5186629,5.492884012644675e-11,8.415647595772907e-07
296,trypomast_0,C4B63_27g179,6.5262246,0.6486647,6.744822958601056e-11,1.0333743254872678e-06
297,trypomast_0,C4B63_38g82,6.496376,0.64392924,8.227795350343205e-11,1.2605805256260823e-06
298,trypomast_0,C4B63_58g142,6.4731145,0.6092713,9.600309251084616e-11,1.470863380358674e-06
299,trypomast_0,C4B63_18g1175c,6.4646516,1.1410714,1.0153263053498439e-10,1.5555814324264959e-06
300,trypomast_0,C4B63_41g212,6.4234104,0.67541057,1.3325474835171384e-10,2.041595999496608e-06
301,trypomast_0,C4B63_11g69,6.4043226,0.65871596,1.510382035000356e-10,2.3140563158240454e-06
302,trypomast_0,C4B63_7g79,6.3989873,0.57270145,1.5641081267749335e-10,2.3963700610318757e-06
303,trypomast_0,C4B63_117g67,6.397577,0.5075759,1.5786208832676392e-10,2.4186050552543503e-06
304,trypomast_0,C4B63_70g104,6.3880672,0.6218471,1.679953143192593e-10,2.573856210685372e-06
305,trypomast_0,C4B63_9g516,6.360928,1.0076015,2.0053838636510483e-10,3.072448617499771e-06
306,trypomast_0,C4B63_23g132,6.3387237,0.6937624,2.316761665492909e-10,3.549510547701686e-06
307,trypomast_0,C4B63_6g507,6.3048744,0.6341769,2.8842760485210366e-10,4.41899933393908e-06
308,trypomast_0,C4B63_13g130,6.296541,0.9611296,3.0436063552281584e-10,4.663109296845061e-06
309,trypomast_0,C4B63_8g515,6.2778287,0.73571765,3.4333343728540965e-10,5.260211592649761e-06
310,trypomast_0,C4B63_97g18,6.250924,0.51592493,4.080313007660018e-10,6.251447559035914e-06
311,trypomast_0,C4B63_18g93,6.2079296,1.7875884,5.368716906056355e-10,8.225411171768942e-06
